Name	Statistic	Cells
Specimen_001_E23_E23.fcs		12825
Specimen_001_E23_E23.fcs/cells	99.7	12785
Specimen_001_E23_E23.fcs/cells/mCherry	81	10353
Specimen_001_E24_E24.fcs		11856
Specimen_001_E24_E24.fcs/cells	99.8	11828
Specimen_001_E24_E24.fcs/cells/mCherry	78.3	9257
Specimen_001_F1_F01.fcs		12882
Specimen_001_F1_F01.fcs/cells	99.8	12852
Specimen_001_F1_F01.fcs/cells/mCherry	67.5	8676
Specimen_001_F2_F02.fcs		14877
Specimen_001_F2_F02.fcs/cells	99.9	14862
Specimen_001_F2_F02.fcs/cells/mCherry	66.8	9926
Specimen_001_F3_F03.fcs		12654
Specimen_001_F3_F03.fcs/cells	99.7	12619
Specimen_001_F3_F03.fcs/cells/mCherry	65.7	8293
Specimen_001_F4_F04.fcs		15789
Specimen_001_F4_F04.fcs/cells	99.7	15747
Specimen_001_F4_F04.fcs/cells/mCherry	65.4	10292
Specimen_001_F5_F05.fcs		11115
Specimen_001_F5_F05.fcs/cells	99.7	11085
Specimen_001_F5_F05.fcs/cells/mCherry	71.4	7910
Specimen_001_F6_F06.fcs		13110
Specimen_001_F6_F06.fcs/cells	99.8	13081
Specimen_001_F6_F06.fcs/cells/mCherry	72	9419
Specimen_001_F7_F07.fcs		8436
Specimen_001_F7_F07.fcs/cells	99.4	8388
Specimen_001_F7_F07.fcs/cells/mCherry	94.2	7902
Specimen_001_F8_F08.fcs		10203
Specimen_001_F8_F08.fcs/cells	99.5	10148
Specimen_001_F8_F08.fcs/cells/mCherry	93.9	9525
Specimen_001_F9_F09.fcs		12084
Specimen_001_F9_F09.fcs/cells	99.7	12053
Specimen_001_F9_F09.fcs/cells/mCherry	57	6872
Specimen_001_F10_F10.fcs		15846
Specimen_001_F10_F10.fcs/cells	99.8	15809
Specimen_001_F10_F10.fcs/cells/mCherry	57.1	9031
Specimen_001_F11_F11.fcs		8037
Specimen_001_F11_F11.fcs/cells	99.6	8008
Specimen_001_F11_F11.fcs/cells/mCherry	76.9	6160
Specimen_001_F12_F12.fcs		10203
Specimen_001_F12_F12.fcs/cells	99.7	10173
Specimen_001_F12_F12.fcs/cells/mCherry	73.5	7477
Specimen_001_F13_F13.fcs		8493
Specimen_001_F13_F13.fcs/cells	99.6	8458
Specimen_001_F13_F13.fcs/cells/mCherry	86.7	7333
Specimen_001_F14_F14.fcs		11742
Specimen_001_F14_F14.fcs/cells	99.5	11682
Specimen_001_F14_F14.fcs/cells/mCherry	84.4	9863
Specimen_001_F15_F15.fcs		7752
Specimen_001_F15_F15.fcs/cells	99.4	7709
Specimen_001_F15_F15.fcs/cells/mCherry	85.8	6618
Specimen_001_F16_F16.fcs		9120
Specimen_001_F16_F16.fcs/cells	99.7	9093
Specimen_001_F16_F16.fcs/cells/mCherry	83.8	7623
Specimen_001_F17_F17.fcs		9063
Specimen_001_F17_F17.fcs/cells	99.6	9023
Specimen_001_F17_F17.fcs/cells/mCherry	78.7	7099
Specimen_001_F18_F18.fcs		11115
Specimen_001_F18_F18.fcs/cells	99.7	11084
Specimen_001_F18_F18.fcs/cells/mCherry	77.6	8596
Specimen_001_F19_F19.fcs		8208
Specimen_001_F19_F19.fcs/cells	99.5	8165
Specimen_001_F19_F19.fcs/cells/mCherry	90.4	7379
Specimen_001_F20_F20.fcs		10374
