well_id	well_id_96	well_id_96_no0	plate_id	F1_AP	F1_F1	F1_ID	F1	BLOCK_ID	PAR_ID	IS_ANC	AP1_ID	SEX	strain_id	parent
K08	F04	F4	plate2	E08	D04	D04_D04	1	1			D04_A1.1_H06_1	ASEX	D04_D04	D04
K10	F05	F5	plate2	E08	D05	D04_D05	1	1			D04_A1.1_H06_1	ASEX	D04_D05	D04
K12	F06	F6	plate2	E08	D06	D04_D06	1	1			D04_A1.1_H06_1	ASEX	D04_D06	D04
K14	F07	F7	plate2	E08	D07	D04_D07	1	1			D04_A1.1_H06_1	ASEX	D04_D07	D04
K16	F08	F8	plate2	E08	D08	D04_D08	1	1			D04_A1.1_H06_1	ASEX	D04_D08	D04
K18	F09	F9	plate2			D04_	0	1	E08		D04_A1.1_H06_1	ASEX	D04	D04
K20	F10	F10	plate2			F04_	0	1	E09		F04_A3_B01_1	SEX	F04	F04
K22	F11	F11	plate2			F06_	0	1	C10		F06_A3_A11_1	SEX	F06	F06
K24	F12	F12	plate2			B05_	0	1	E11		B05_A1.1_G01_1	ASEX	B05	B05
M02	G01	G1	plate2	A10	D01	G04_D01	1	1			G04_A3_H09_1	SEX	G04_D01	G04
M04	G02	G2	plate2	A10	D02	G04_D02	1	1			G04_A3_H09_1	SEX	G04_D02	G04
M06	G03	G3	plate2	A10	D03	G04_D03	1	1			G04_A3_H09_1	SEX	G04_D03	G04
M08	G04	G4	plate2	A10	D04	G04_D04	1	1			G04_A3_H09_1	SEX	G04_D04	G04
M10	G05	G5	plate2	A10	D05	G04_D05	1	1			G04_A3_H09_1	SEX	G04_D05	G04
M12	G06	G6	plate2	A10	D06	G04_D06	1	1			G04_A3_H09_1	SEX	G04_D06	G04
M14	G07	G7	plate2	A10	D07	G04_D07	1	1			G04_A3_H09_1	SEX	G04_D07	G04
M16	G08	G8	plate2	A10	D08	G04_D08	1	1			G04_A3_H09_1	SEX	G04_D08	G04
M18	G09	G9	plate2			E04_	0	1	A09		E04_A3_G01_1	SEX	E04	E04
M20	G10	G10	plate2			G04_	0	1	A10		G04_A3_H09_1	SEX	G04	G04
M22	G11	G11	plate2			H04_	0	1	E10		H04_A3_A02_1	SEX	H04	H04
M24	G12	G12	plate2			NA_	0	1	MJM36_D5	1	NA	NA	NA	NA
O02	H01	H1	plate2	F12	D01	D05_D01	1	1			D05_A1.1_C12_1	ASEX	D05_D01	D05
O04	H02	H2	plate2	F12	D02	D05_D02	1	1			D05_A1.1_C12_1	ASEX	D05_D02	D05
O06	H03	H3	plate2	F12	D03	D05_D03	1	1			D05_A1.1_C12_1	ASEX	D05_D03	D05
O08	H04	H4	plate2	F12	D04	D05_D04	1	1			D05_A1.1_C12_1	ASEX	D05_D04	D05
O10	H05	H5	plate2	F12	D05	D05_D05	1	1			D05_A1.1_C12_1	ASEX	D05_D05	D05
O12	H06	H6	plate2	F12	D06	D05_D06	1	1			D05_A1.1_C12_1	ASEX	D05_D06	D05
O14	H07	H7	plate2	F12	D07	D05_D07	1	1			D05_A1.1_C12_1	ASEX	D05_D07	D05
O16	H08	H8	plate2	F12	D08	D05_D08	1	1			D05_A1.1_C12_1	ASEX	D05_D08	D05
O18	H09	H9	plate2			NA_	0	1	MJM36_H3	1	NA	NA	NA	NA
O20	H10	H10	plate2			NA_	0	1	BCAL-B2	1	NA	NA	NA	NA
O22	H11	H11	plate2			NA_	0	1	BCAL-C2	1	NA	NA	NA	NA
O24	H12	H12	plate2			NA_	0	1	BLANK		NA	NA	NA	NA
B01	A01	A1	plate3	E08	E01	D04_E01	1	1			D04_A1.1_H06_1	ASEX	D04_E01	D04
B03	A02	A2	plate3	E08	E02	D04_E02	1	1			D04_A1.1_H06_1	ASEX	D04_E02	D04
B05	A03	A3	plate3	E08	E03	D04_E03	1	1			D04_A1.1_H06_1	ASEX	D04_E03	D04
B07	A04	A4	plate3	E08	E04	D04_E04	1	1			D04_A1.1_H06_1	ASEX	D04_E04	D04
B09	A05	A5	plate3	E08	E05	D04_E05	1	1			D04_A1.1_H06_1	ASEX	D04_E05	D04
B11	A06	A6	plate3	E08	E06	D04_E06	1	1			D04_A1.1_H06_1	ASEX	D04_E06	D04
B13	A07	A7	plate3	E08	E07	D04_E07	1	1			D04_A1.1_H06_1	ASEX	D04_E07	D04
B15	A08	A8	plate3	E08	E08	D04_E08	1	1			D04_A1.1_H06_1	ASEX	D04_E08	D04
B17	A09	A9	plate3			C02_	0	1	B01		C02_A3_A03_1	SEX	C02	C02
B19	A10	A10	plate3			A03_	0	1	A03		A03_A1.1_A12_1	ASEX	A03	A03
B21	A11	A11	plate3			E03_	0	1	A05		E03_A3_H03_1	SEX	E03	E03
B23	A12	A12	plate3			A04_	0	1	A07		A04_A3_G12_1	SEX	A04	A04
D01	B01	B1	plate3	A10	E01	G04_E01	1	1			G04_A3_H09_1	SEX	G04_E01	G04
D03	B02	B2	plate3	A10	E02	G04_E02	1	1			G04_A3_H09_1	SEX	G04_E02	G04
D05	B03	B3	plate3	A10	E03	G04_E03	1	1			G04_A3_H09_1	SEX	G04_E03	G04
D07	B04	B4	plate3	A10	E04	G04_E04	1	1			G04_A3_H09_1	SEX	G04_E04	G04
D09	B05	B5	plate3	A10	E05	G04_E05	1	1			G04_A3_H09_1	SEX	G04_E05	G04
D11	B06	B6	plate3	A10	E06	G04_E06	1	1			G04_A3_H09_1	SEX	G04_E06	G04
D13	B07	B7	plate3	A10	E07	G04_E07	1	1			G04_A3_H09_1	SEX	G04_E07	G04
D15	B08	B8	plate3	A10	E08	G04_E08	1	1			G04_A3_H09_1	SEX	G04_E08	G04
D17	B09	B9	plate3			D02_	0	1	F01		D02_A1.1_A05_1	ASEX	D02	D02
D19	B10	B10	plate3			C03_	0	1	A04		C03_A3_H11_1	SEX	C03	C03
D21	B11	B11	plate3			D05_	0	1	F12		D05_A1.1_C12_1	ASEX	D05	D05
D23	B12	B12	plate3			B04_	0	1	E07		B04_A1.1_A02_1	ASEX	B04	B04
F01	C01	C1	plate3	F12	E01	D05_E01	1	1			D05_A1.1_C12_1	ASEX	D05_E01	D05
F03	C02	C2	plate3	F12	E02	D05_E02	1	1			D05_A1.1_C12_1	ASEX	D05_E02	D05
F05	C03	C3	plate3	F12	E03	D05_E03	1	1			D05_A1.1_C12_1	ASEX	D05_E03	D05
F07	C04	C4	plate3	F12	E04	D05_E04	1	1			D05_A1.1_C12_1	ASEX	D05_E04	D05
F09	C05	C5	plate3	F12	E05	D05_E05	1	1			D05_A1.1_C12_1	ASEX	D05_E05	D05
F11	C06	C6	plate3	F12	E06	D05_E06	1	1			D05_A1.1_C12_1	ASEX	D05_E06	D05
F13	C07	C7	plate3	F12	E07	D05_E07	1	1			D05_A1.1_C12_1	ASEX	D05_E07	D05
F15	C08	C8	plate3	F12	E08	D05_E08	1	1			D05_A1.1_C12_1	ASEX	D05_E08	D05
F17	C09	C9	plate3			F02_	0	1	A02		F02_A1.1_A11_1	ASEX	F02	F02
F19	C10	C10	plate3			D03_	0	1	E04		D03_A3_B12_1	SEX	D03	D03
F21	C11	C11	plate3			A06_	0	1	C06		A06_A3_H07_1	SEX	A06	A06
F23	C12	C12	plate3			C04_	0	1	A08		C04_A3_H02_1	SEX	C04	C04
H01	D01	D1	plate3	A08	E01	C04_E01	1	1			C04_A3_H02_1	SEX	C04_E01	C04
H03	D02	D2	plate3	A08	E02	C04_E02	1	1			C04_A3_H02_1	SEX	C04_E02	C04
H05	D03	D3	plate3	A08	E03	C04_E03	1	1			C04_A3_H02_1	SEX	C04_E03	C04
H07	D04	D4	plate3	A08	E04	C04_E04	1	1			C04_A3_H02_1	SEX	C04_E04	C04
H09	D05	D5	plate3	A08	E05	C04_E05	1	1			C04_A3_H02_1	SEX	C04_E05	C04
H11	D06	D6	plate3	A08	E06	C04_E06	1	1			C04_A3_H02_1	SEX	C04_E06	C04
H13	D07	D7	plate3	A08	E07	C04_E07	1	1			C04_A3_H02_1	SEX	C04_E07	C04
H15	D08	D8	plate3	A08	E08	C04_E08	1	1			C04_A3_H02_1	SEX	C04_E08	C04
H17	D09	D9	plate3			G02_	0	1	E02		G02_A1.1_H02_1	ASEX	G02	G02
H19	D10	D10	plate3			H05_	0	1	G04		H05_A1.1_D12_1	ASEX	H05	H05
H21	D11	D11	plate3			G03_	0	1	E06		G03_A1.1_B12_1	ASEX	G03	G03
H23	D12	D12	plate3			D06_	0	1	C08		D06_A1.1_H11_1	ASEX	D06	D06
J01	E01	E1	plate3	E08	F01	D04_F01	1	1			D04_A1.1_H06_1	ASEX	D04_F01	D04
J03	E02	E2	plate3	E08	F02	D04_F02	1	1			D04_A1.1_H06_1	ASEX	D04_F02	D04
J05	E03	E3	plate3	E08	F03	D04_F03	1	1			D04_A1.1_H06_1	ASEX	D04_F03	D04
J07	E04	E4	plate3	E08	F04	D04_F04	1	1			D04_A1.1_H06_1	ASEX	D04_F04	D04
J09	E05	E5	plate3	E08	F05	D04_F05	1	1			D04_A1.1_H06_1	ASEX	D04_F05	D04
J11	E06	E6	plate3	E08	F06	D04_F06	1	1			D04_A1.1_H06_1	ASEX	D04_F06	D04
J13	E07	E7	plate3	E08	F07	D04_F07	1	1			D04_A1.1_H06_1	ASEX	D04_F07	D04
J15	E08	E8	plate3	E08	F08	D04_F08	1	1			D04_A1.1_H06_1	ASEX	D04_F08	D04
J17	E09	E9	plate3			NA_	0	1	MJM36_G3	1	NA	NA	NA	NA
J19	E10	E10	plate3			NA_	0	1	BCAL-B1	1	NA	NA	NA	NA
J21	E11	E11	plate3			NA_	0	1	BCAL-C1	1	NA	NA	NA	NA
J23	E12	E12	plate3			NA_	0	1	MJM36_C5	1	NA	NA	NA	NA
L01	F01	F1	plate3	A10	F01	G04_F01	1	1			G04_A3_H09_1	SEX	G04_F01	G04
L03	F02	F2	plate3	A10	F02	G04_F02	1	1			G04_A3_H09_1	SEX	G04_F02	G04
L05	F03	F3	plate3	A10	F03	G04_F03	1	1			G04_A3_H09_1	SEX	G04_F03	G04
L07	F04	F4	plate3	A10	F04	G04_F04	1	1			G04_A3_H09_1	SEX	G04_F04	G04
L09	F05	F5	plate3	A10	F05	G04_F05	1	1			G04_A3_H09_1	SEX	G04_F05	G04
L11	F06	F6	plate3	A10	F06	G04_F06	1	1			G04_A3_H09_1	SEX	G04_F06	G04
L13	F07	F7	plate3	A10	F07	G04_F07	1	1			G04_A3_H09_1	SEX	G04_F07	G04
L15	F08	F8	plate3	A10	F08	G04_F08	1	1			G04_A3_H09_1	SEX	G04_F08	G04
L17	F09	F9	plate3			D04_	0	1	E08		D04_A1.1_H06_1	ASEX	D04	D04
L19	F10	F10	plate3			F04_	0	1	E09		F04_A3_B01_1	SEX	F04	F04
L21	F11	F11	plate3			F06_	0	1	C10		F06_A3_A11_1	SEX	F06	F06
L23	F12	F12	plate3			B05_	0	1	E11		B05_A1.1_G01_1	ASEX	B05	B05
