well_id_384,well_id_96,well_id_96_no0,plate_id,96_row,96_col,kk_strain_id,F1,parent,anc,env,kk_pop_id,kk_well_id,cells_t1,test_t1,cells_t2,test_t2
F18,C09,C9,plate4,C,09,G03_a1.1_B12_1,1,0,0,env3,a1.1_B12,B12,6949,1919,7790,3545
F19,C10,C10,plate3,C,10,A04_a3_G12_1,1,0,0,env3,a3_G12,G12,13564,4088,9134,5035
F20,C10,C10,plate4,C,10,A06_a3_H07_1,1,0,0,env3,a3_H07,H07,6863,2154,6282,3034
F21,C11,C11,plate3,C,11,A06_a3_H07_1,0,1,0,env3,a3_H07,H07,4892,1370,7022,3296
F22,C11,C11,plate4,C,11,A06_a3_H07_1,0,1,0,env3,a3_H07,H07,4833,1042,5822,2411
F23,C12,C12,plate3,C,12,A06_a3_H07_1,0,1,0,env3,a3_H07,H07,5337,1287,7785,3487
F24,C12,C12,plate4,C,12,A06_a3_H07_1,0,1,0,env3,a3_H07,H07,7111,1508,6034,2151
G01,D01,D1,plate1,D,01,A04_a3_G12_1,1,0,0,env3,a3_G12,G12,23297,10937,14190,9526
G02,D01,D1,plate2,D,01,A06_a3_H07_1,1,0,0,env3,a3_H07,H07,13219,5666,11495,7499
G03,D02,D2,plate1,D,02,A04_a3_G12_1,1,0,0,env3,a3_G12,G12,14832,6315,11677,7626
G04,D02,D2,plate2,D,02,A06_a3_H07_1,1,0,0,env3,a3_H07,H07,11161,4996,9933,6718
G05,D03,D3,plate1,D,03,A04_a3_G12_1,1,0,0,env3,a3_G12,G12,13588,5843,11767,7707
G06,D03,D3,plate2,D,03,A06_a3_H07_1,1,0,0,env3,a3_H07,H07,8341,3455,9870,6471
G07,D04,D4,plate1,D,04,A06_a3_H07_1,1,0,0,env3,a3_H07,H07,10325,4565,9039,5280
G08,D04,D4,plate2,D,04,G03_a1.1_B12_1,1,0,0,env3,a1.1_B12,B12,8532,3771,11424,8439
G09,D05,D5,plate1,D,05,A06_a3_H07_1,1,0,0,env3,a3_H07,H07,10534,3800,10696,5533
G10,D05,D5,plate2,D,05,G03_a1.1_B12_1,1,0,0,env3,a1.1_B12,B12,10968,5278,9756,6996
G11,D06,D6,plate1,D,06,G03_a1.1_B12_1,1,0,0,env3,a1.1_B12,B12,10101,5524,9343,6700
G12,D06,D6,plate2,D,06,B04_a1.1_A02_1,1,0,0,env3,a1.1_A02,A02,8758,4962,10031,8427
G13,D07,D7,plate1,D,07,G03_a1.1_B12_1,1,0,0,env3,a1.1_B12,B12,10345,3451,9665,4972
G14,D07,D7,plate2,D,07,B04_a1.1_A02_1,1,0,0,env3,a1.1_A02,A02,9136,2843,9676,5087
G15,D08,D8,plate1,D,08,B04_a1.1_A02_1,1,0,0,env3,a1.1_A02,A02,13107,6356,12018,9064
G16,D08,D8,plate2,D,08,A04_a3_G12_1,1,0,0,env3,a3_G12,G12,8994,3163,9623,5749
G17,D09,D9,plate1,D,09,B04_a1.1_A02_1,1,0,0,env3,a1.1_A02,A02,8532,4943,11305,9382
G18,D09,D9,plate2,D,09,A04_a3_G12_1,1,0,0,env3,a3_G12,G12,10228,3466,9514,5351
G19,D10,D10,plate1,D,10,G03_a1.1_B12_1,1,0,0,env3,a1.1_B12,B12,12956,4813,10427,5439
G20,D10,D10,plate2,D,10,B04_a1.1_A02_1,1,0,0,env3,a1.1_A02,A02,12275,3922,10491,5922
G21,D11,D11,plate1,D,11,MATa,0,1,1,env3,MATa,MATa,6459,2848,11335,8498
G22,D11,D11,plate2,D,11,MATa,0,1,1,env3,MATa,MATa,5766,1683,8442,5365
