well_id_384,well_id_96,well_id_96_no0,plate_id,96_row,96_col,kk_strain_id,F1,parent,anc,env,kk_pop_id,kk_well_id,cells_t1,test_t1,cells_t2,test_t2
F20,C10,C10,plate4,C,10,A06_a3_H07_1,1,0,0,YPD,a3_H07,H07,12556,10198,12556,9668
F21,C11,C11,plate3,C,11,A06_a3_H07_1,0,1,0,YPD,a3_H07,H07,12384,10088,12212,9138
F22,C11,C11,plate4,C,11,A06_a3_H07_1,0,1,0,YPD,a3_H07,H07,11674,9948,11437,8946
F23,C12,C12,plate3,C,12,A06_a3_H07_1,0,1,0,YPD,a3_H07,H07,15222,12713,13502,10216
F24,C12,C12,plate4,C,12,A06_a3_H07_1,0,1,0,YPD,a3_H07,H07,13416,11350,14190,10635
G01,D01,D1,plate1,D,01,A04_a3_G12_1,1,0,0,YPD,a3_G12,G12,21930,15906,25000,12836
G02,D01,D1,plate2,D,01,A06_a3_H07_1,1,0,0,YPD,a3_H07,H07,22704,17310,19694,14360
G03,D02,D2,plate1,D,02,A04_a3_G12_1,1,0,0,YPD,a3_G12,G12,22188,17665,25000,16470
G04,D02,D2,plate2,D,02,A06_a3_H07_1,1,0,0,YPD,a3_H07,H07,13244,9825,13158,9175
G05,D03,D3,plate1,D,03,A04_a3_G12_1,1,0,0,YPD,a3_G12,G12,22188,17582,23564,16239
G06,D03,D3,plate2,D,03,A06_a3_H07_1,1,0,0,YPD,a3_H07,H07,13330,10145,14276,10080
G07,D04,D4,plate1,D,04,A06_a3_H07_1,1,0,0,YPD,a3_H07,H07,14792,11204,13760,9251
G08,D04,D4,plate2,D,04,G03_a1.1_B12_1,1,0,0,YPD,a1.1_B12,B12,17372,13564,18060,12470
G09,D05,D5,plate1,D,05,A06_a3_H07_1,1,0,0,YPD,a3_H07,H07,20640,16764,18920,14224
G10,D05,D5,plate2,D,05,G03_a1.1_B12_1,1,0,0,YPD,a1.1_B12,B12,18490,13370,18232,9899
G11,D06,D6,plate1,D,06,G03_a1.1_B12_1,1,0,0,YPD,a1.1_B12,B12,15996,11729,15738,9679
