well_id	sample_id	fact	name_long	cells	dark
H02	BLANK	NaCl_B	Specimen_002_H2_H02_336.fcs	9	8
H03	E05_A1.1_H01_2	NaCl_A	Specimen_001_H3_H03_141.fcs	19039	7751
H04	E05_A1.1_H01_2	NaCl_B	Specimen_001_H4_H04_142.fcs	15940	6672
H05	MJM64_MATa	NaCl_A	Specimen_001_H5_H05_143.fcs	18525	14509
H06	MJM64_MATa	NaCl_B	Specimen_001_H6_H06_144.fcs	15730	11925
H07	G05_A1.1_E12_2	NaCl_A	Specimen_001_H7_H07_145.fcs	15600	5278
H08	G05_A1.1_E12_2	NaCl_B	Specimen_001_H8_H08_146.fcs	15080	5276
H09	MJM36_MATalpha	NaCl_A	Specimen_001_H9_H09_147.fcs	16575	5442
H10	MJM36_MATalpha	NaCl_B	Specimen_001_H10_H10_148.fcs	14950	4802
H11	A06_A3_H07_2	NaCl_A	Specimen_001_H11_H11_149.fcs	16250	7578
H12	A06_A3_H07_2	NaCl_B	Specimen_001_H12_H12_150.fcs	14403	7122
H13	MJM64_MATa	NaCl_A	Specimen_001_H13_H13_151.fcs	19305	15129
H14	MJM64_MATa	NaCl_B	Specimen_001_H14_H14_152.fcs	12558	9849
H15	D06_A1.1_H11_2	NaCl_A	Specimen_001_H15_H15_153.fcs	16292	7717
H16	D06_A1.1_H11_2	NaCl_B	Specimen_001_H16_H16_154.fcs	14690	7147
H17	MJM36_MATalpha	NaCl_A	Specimen_001_H17_H17_155.fcs	13520	6046
H18	MJM36_MATalpha	NaCl_B	Specimen_001_H18_H18_156.fcs	9275	3873
H19	F06_A3_A11_2	NaCl_A	Specimen_001_H19_H19_157.fcs	13845	6427
H20	F06_A3_A11_2	NaCl_B	Specimen_001_H20_H20_158.fcs	12974	6351
H21	REF	NaCl_A	Specimen_001_H21_H21_159.fcs	20141	188
H22	REF	NaCl_B	Specimen_001_H22_H22_160.fcs	22500	145
H23	REF	NaCl_A	Specimen_003_H23_H23_367.fcs	22500	142
H24	REF	NaCl_B	Specimen_003_H24_H24_368.fcs	22500	194
I01	BLANK	pH7.3_A	Specimen_002_I1_I01_337.fcs	20	17
I02	BLANK	pH7.3_B	Specimen_002_I2_I02_338.fcs	9	7
I03	G02_A1.1_H02_1	pH7.3_A	Specimen_001_I3_I03_161.fcs	15795	9271
I04	G02_A1.1_H02_1	pH7.3_B	Specimen_001_I4_I04_162.fcs	14690	8688
I05	B03_A3_H06_1	pH7.3_A	Specimen_001_I5_I05_163.fcs	14365	9075
I06	B03_A3_H06_1	pH7.3_B	Specimen_001_I6_I06_164.fcs	14560	10034
I07	D03_A3_B12_1	pH7.3_A	Specimen_001_I7_I07_165.fcs	13975	9839
I08	D03_A3_B12_1	pH7.3_B	Specimen_001_I8_I08_166.fcs	14560	10554
I09	F03_A3_H04_1	pH7.3_A	Specimen_001_I9_I09_167.fcs	14391	8814
I10	F03_A3_H04_1	pH7.3_B	Specimen_001_I10_I10_168.fcs	12386	7997
I11	G03_A1.1_B12_1	pH7.3_A	Specimen_001_I11_I11_169.fcs	12414	5991
I12	G03_A1.1_B12_1	pH7.3_B	Specimen_001_I12_I12_170.fcs	12675	6725
I13	B04_A1.1_A02_1	pH7.3_A	Specimen_001_I13_I13_171.fcs	13520	6630
I14	B04_A1.1_A02_1	pH7.3_B	Specimen_001_I14_I14_172.fcs	10903	5423
I15	D04_A1.1_H06_1	pH7.3_A	Specimen_001_I15_I15_173.fcs	13325	7316
I16	D04_A1.1_H06_1	pH7.3_B	Specimen_001_I16_I16_174.fcs	12675	6725
I17	F04_A3_B01_1	pH7.3_A	Specimen_001_I17_I17_175.fcs	13845	7332
I18	F04_A3_B01_1	pH7.3_B	Specimen_001_I18_I18_176.fcs	10786	5749
I19	H04_A3_A02_1	pH7.3_A	Specimen_001_I19_I19_177.fcs	11700	6740
I20	H04_A3_A02_1	pH7.3_B	Specimen_001_I20_I20_178.fcs	9961	6271
I21	B05_A1.1_G01_1	pH7.3_A	Specimen_001_I21_I21_179.fcs	13640	5522
I22	B05_A1.1_G01_1	pH7.3_B	Specimen_001_I22_I22_180.fcs	15665	6413
I23	REF	pH7.3_A	Specimen_003_I23_I23_369.fcs	16965	34
I24	REF	pH7.3_B	Specimen_003_I24_I24_370.fcs	12758	17
J01	BLANK	NaCl_A	Specimen_002_J1_J01_339.fcs	5	5
J02	BLANK	NaCl_B	Specimen_002_J2_J02_340.fcs	5	5
J03	G02_A1.1_H02_1	NaCl_A	Specimen_001_J3_J03_181.fcs	16575	7213
J04	G02_A1.1_H02_1	NaCl_B	Specimen_001_J4_J04_182.fcs	18850	8010
J05	B03_A3_H06_1	NaCl_A	Specimen_001_J5_J05_183.fcs	18200	9100
J06	B03_A3_H06_1	NaCl_B	Specimen_001_J6_J06_184.fcs	18070	9909
J07	D03_A3_B12_1	NaCl_A	Specimen_001_J7_J07_185.fcs	16613	9005
J08	D03_A3_B12_1	NaCl_B	Specimen_001_J8_J08_186.fcs	12772	7590
J09	F03_A3_H04_1	NaCl_A	Specimen_001_J9_J09_187.fcs	6874	3234
J10	F03_A3_H04_1	NaCl_B	Specimen_001_J10_J10_188.fcs	12641	6370
J11	G03_A1.1_B12_1	NaCl_A	Specimen_001_J11_J11_189.fcs	17225	7433
J12	G03_A1.1_B12_1	NaCl_B	Specimen_001_J12_J12_190.fcs	11793	5156
J13	B04_A1.1_A02_1	NaCl_A	Specimen_001_J13_J13_191.fcs	13793	5171
J14	B04_A1.1_A02_1	NaCl_B	Specimen_001_J14_J14_192.fcs	14495	5691
J15	D04_A1.1_H06_1	NaCl_A	Specimen_001_J15_J15_193.fcs	17827	6985
J16	D04_A1.1_H06_1	NaCl_B	Specimen_001_J16_J16_194.fcs	17546	7250
J17	F04_A3_B01_1	NaCl_A	Specimen_001_J17_J17_195.fcs	14618	5608
J18	F04_A3_B01_1	NaCl_B	Specimen_001_J18_J18_196.fcs	14365	5943
J19	H04_A3_A02_1	NaCl_A	Specimen_001_J19_J19_197.fcs	13910	6372
J20	H04_A3_A02_1	NaCl_B	Specimen_001_J20_J20_198.fcs	13845	6311
J21	B05_A1.1_G01_1	NaCl_A	Specimen_001_J21_J21_199.fcs	17745	3296
J22	B05_A1.1_G01_1	NaCl_B	Specimen_001_J22_J22_200.fcs	18265	3143
J23	REF	NaCl_A	Specimen_003_J23_J23_371.fcs	22500	165
J24	REF	NaCl_B	Specimen_003_J24_J24_372.fcs	22500	178
K01	D02_A1.1_A05_1	pH7.3_A	Specimen_002_K1_K01_341.fcs	22555	9753
K02	D02_A1.1_A05_1	pH7.3_B	Specimen_002_K2_K02_342.fcs	15925	8065
K03	G02_A1.1_H02_2	pH7.3_A	Specimen_001_K3_K03_201.fcs	17934	9409
K04	G02_A1.1_H02_2	pH7.3_B	Specimen_001_K4_K04_202.fcs	14719	7023
K05	B03_A3_H06_2	pH7.3_A	Specimen_001_K5_K05_203.fcs	15693	9294
K06	B03_A3_H06_2	pH7.3_B	Specimen_001_K6_K06_204.fcs	14430	9335
K07	D03_A3_B12_2	pH7.3_A	Specimen_001_K7_K07_205.fcs	16475	11465
K08	D03_A3_B12_2	pH7.3_B	Specimen_001_K8_K08_206.fcs	13325	9690
K09	F03_A3_H04_2	pH7.3_A	Specimen_001_K9_K09_207.fcs	13455	8365
K10	F03_A3_H04_2	pH7.3_B	Specimen_001_K10_K10_208.fcs	12090	7938
K11	G03_A1.1_B12_2	pH7.3_A	Specimen_001_K11_K11_209.fcs	11692	5977
K12	G03_A1.1_B12_2	pH7.3_B	Specimen_001_K12_K12_210.fcs	9129	5107
K13	B04_A1.1_A02_2	pH7.3_A	Specimen_001_K13_K13_211.fcs	14040	6943
K14	B04_A1.1_A02_2	pH7.3_B	Specimen_001_K14_K14_212.fcs	11351	5958
K15	D04_A1.1_H06_2	pH7.3_A	Specimen_001_K15_K15_213.fcs	11707	9543
K16	D04_A1.1_H06_2	pH7.3_B	Specimen_001_K16_K16_214.fcs	15665	10739
K17	F04_A3_B01_2	pH7.3_A	Specimen_001_K17_K17_215.fcs	13585	6844
K18	F04_A3_B01_2	pH7.3_B	Specimen_001_K18_K18_216.fcs	12220	5346
K19	H04_A3_A02_2	pH7.3_A	Specimen_001_K19_K19_217.fcs	13325	8566
K20	H04_A3_A02_2	pH7.3_B	Specimen_001_K20_K20_218.fcs	11438	7897
K21	B05_A1.1_G01_2	pH7.3_A	Specimen_001_K21_K21_219.fcs	15730	6588
K22	B05_A1.1_G01_2	pH7.3_B	Specimen_001_K22_K22_220.fcs	16445	6845
K23	D05_A1.1_C12_1	pH7.3_A	Specimen_003_K23_K23_373.fcs	16510	9586
K24	D05_A1.1_C12_1	pH7.3_B	Specimen_003_K24_K24_374.fcs	16510	9609
L01	D02_A1.1_A05_1	NaCl_A	Specimen_002_L1_L01_343.fcs	21580	7459
L02	D02_A1.1_A05_1	NaCl_B	Specimen_002_L2_L02_344.fcs	18590	6683
L03	G02_A1.1_H02_2	NaCl_A	Specimen_001_L3_L03_221.fcs	20540	7781
L04	G02_A1.1_H02_2	NaCl_B	Specimen_001_L4_L04_222.fcs	17095	7306
L05	B03_A3_H06_2	NaCl_A	Specimen_001_L5_L05_223.fcs	16119	7466
L06	B03_A3_H06_2	NaCl_B	Specimen_001_L6_L06_224.fcs	16445	7944
L07	D03_A3_B12_2	NaCl_A	Specimen_001_L7_L07_225.fcs	15795	8705
L08	D03_A3_B12_2	NaCl_B	Specimen_001_L8_L08_226.fcs	15405	8811
L09	F03_A3_H04_2	NaCl_A	Specimen_001_L9_L09_227.fcs	18135	8812
L10	F03_A3_H04_2	NaCl_B	Specimen_001_L10_L10_228.fcs	16120	8434
L11	G03_A1.1_B12_2	NaCl_A	Specimen_001_L11_L11_229.fcs	14461	6038
L12	G03_A1.1_B12_2	NaCl_B	Specimen_001_L12_L12_230.fcs	14950	6368
L13	B04_A1.1_A02_2	NaCl_A	Specimen_001_L13_L13_231.fcs	14235	5960
L14	B04_A1.1_A02_2	NaCl_B	Specimen_001_L14_L14_232.fcs	13455	6049
L15	D04_A1.1_H06_2	NaCl_A	Specimen_001_L15_L15_233.fcs	14952	7275
L16	D04_A1.1_H06_2	NaCl_B	Specimen_001_L16_L16_234.fcs	15405	8310
L17	F04_A3_B01_2	NaCl_A	Specimen_001_L17_L17_235.fcs	16705	5504
L18	F04_A3_B01_2	NaCl_B	Specimen_001_L18_L18_236.fcs	14134	5380
L19	H04_A3_A02_2	NaCl_A	Specimen_001_L19_L19_237.fcs	16445	7917
L20	H04_A3_A02_2	NaCl_B	Specimen_001_L20_L20_238.fcs	14690	7716
L21	B05_A1.1_G01_2	NaCl_A	Specimen_001_L21_L21_239.fcs	16770	5763
L22	B05_A1.1_G01_2	NaCl_B	Specimen_001_L22_L22_240.fcs	16182	6298
L23	D05_A1.1_C12_1	NaCl_A	Specimen_003_L23_L23_375.fcs	17119	6863
L24	D05_A1.1_C12_1	NaCl_B	Specimen_003_L24_L24_376.fcs	19630	8852
M01	D02_A1.1_A05_2	pH7.3_A	Specimen_002_M1_M01_345.fcs	21255	9744
