Name	Statistic	Cells
Specimen_001_F14_F14.fcs		14899
Specimen_001_F14_F14.fcs/mCherry	65.5	9761
Specimen_001_F15_F15.fcs		13818
Specimen_001_F15_F15.fcs/mCherry	71.1	9819
Specimen_001_F16_F16.fcs		14946
Specimen_001_F16_F16.fcs/mCherry	68.1	10173
Specimen_001_F17_F17.fcs		11891
Specimen_001_F17_F17.fcs/mCherry	59.8	7111
Specimen_001_F18_F18.fcs		14805
Specimen_001_F18_F18.fcs/mCherry	58.4	8653
Specimen_001_F19_F19.fcs		13489
Specimen_001_F19_F19.fcs/mCherry	57.1	7705
Specimen_001_F20_F20.fcs		14429
Specimen_001_F20_F20.fcs/mCherry	56.3	8123
Specimen_001_F21_F21.fcs		13771
Specimen_001_F21_F21.fcs/mCherry	60	8269
Specimen_001_F22_F22.fcs		14946
Specimen_001_F22_F22.fcs/mCherry	59.3	8856
Specimen_001_G3_G03.fcs		9400
Specimen_001_G3_G03.fcs/mCherry	59.4	5583
Specimen_001_G4_G04.fcs		6213
Specimen_001_G4_G04.fcs/mCherry	52.2	3243
Specimen_001_G5_G05.fcs		7943
Specimen_001_G5_G05.fcs/mCherry	43.7	3469
Specimen_001_G6_G06.fcs		6862
Specimen_001_G6_G06.fcs/mCherry	38.8	2664
Specimen_001_G7_G07.fcs		6315
Specimen_001_G7_G07.fcs/mCherry	60.1	3798
Specimen_001_G8_G08.fcs		5122
Specimen_001_G8_G08.fcs/mCherry	58.1	2977
Specimen_001_G9_G09.fcs		6721
Specimen_001_G9_G09.fcs/mCherry	56.8	3817
Specimen_001_G10_G10.fcs		5402
Specimen_001_G10_G10.fcs/mCherry	54.9	2967
Specimen_001_G11_G11.fcs		6714
Specimen_001_G11_G11.fcs/mCherry	51.3	3447
Specimen_001_G12_G12.fcs		4881
Specimen_001_G12_G12.fcs/mCherry	46	2243
Specimen_001_G13_G13.fcs		6533
Specimen_001_G13_G13.fcs/mCherry	54.3	3547
Specimen_001_G14_G14.fcs		5808
Specimen_001_G14_G14.fcs/mCherry	51.8	3006
Specimen_001_G15_G15.fcs		6290
Specimen_001_G15_G15.fcs/mCherry	58.1	3657
Specimen_001_G16_G16.fcs		5099
Specimen_001_G16_G16.fcs/mCherry	51.7	2636
Specimen_001_G17_G17.fcs		6481
Specimen_001_G17_G17.fcs/mCherry	63.8	4138
Specimen_001_G18_G18.fcs		5330
Specimen_001_G18_G18.fcs/mCherry	62.6	3337
Specimen_001_G19_G19.fcs		8131
Specimen_001_G19_G19.fcs/mCherry	47.8	3885
Specimen_001_G20_G20.fcs		6855
Specimen_001_G20_G20.fcs/mCherry	45.3	3103
Specimen_001_G21_G21.fcs		8648
Specimen_001_G21_G21.fcs/mCherry	54.6	4724
Specimen_001_G22_G22.fcs		7661
Specimen_001_G22_G22.fcs/mCherry	51	3910
Specimen_001_H3_H03.fcs		12549
Specimen_001_H3_H03.fcs/mCherry	68.8	8628
Specimen_001_H4_H04.fcs		15792
Specimen_001_H4_H04.fcs/mCherry	67.2	10618
Specimen_001_H5_H05.fcs		11938
Specimen_001_H5_H05.fcs/mCherry	54.4	6492
Specimen_001_H6_H06.fcs		14758
Specimen_001_H6_H06.fcs/mCherry	54.6	8056
Specimen_001_H7_H07.fcs		13066
Specimen_001_H7_H07.fcs/mCherry	60.8	7940
Specimen_001_H8_H08.fcs		14335
Specimen_001_H8_H08.fcs/mCherry	58.9	8442
Specimen_001_H9_H09.fcs		12408
Specimen_001_H9_H09.fcs/mCherry	64.6	8017
Specimen_001_H10_H10.fcs		14429
Specimen_001_H10_H10.fcs/mCherry	62.9	9076
Specimen_001_H11_H11.fcs		13348
Specimen_001_H11_H11.fcs/mCherry	44.6	5955
Specimen_001_H12_H12.fcs		14100
Specimen_001_H12_H12.fcs/mCherry	53.3	7520
Specimen_001_H13_H13.fcs		13348
Specimen_001_H13_H13.fcs/mCherry	59.2	7901
Specimen_001_H14_H14.fcs		14852
Specimen_001_H14_H14.fcs/mCherry	57.1	8474
Specimen_001_H15_H15.fcs		12737
Specimen_001_H15_H15.fcs/mCherry	65.9	8392
Specimen_001_H16_H16.fcs		13818
Specimen_001_H16_H16.fcs/mCherry	63.5	8775
Specimen_001_H17_H17.fcs		13630
Specimen_001_H17_H17.fcs/mCherry	62.6	8537
Specimen_001_H18_H18.fcs		14664
Specimen_001_H18_H18.fcs/mCherry	60.7	8906
Specimen_001_H19_H19.fcs		13771
Specimen_001_H19_H19.fcs/mCherry	63	8682
Specimen_001_H20_H20.fcs		15698
Specimen_001_H20_H20.fcs/mCherry	59.6	9349
Specimen_001_H21_H21.fcs		17390
Specimen_001_H21_H21.fcs/mCherry	64.3	11181
Specimen_001_H22_H22.fcs		13348
Specimen_001_H22_H22.fcs/mCherry	58.6	7818
Specimen_001_I3_I03.fcs		6171
Specimen_001_I3_I03.fcs/mCherry	85.2	5259
Specimen_001_I4_I04.fcs		5263
Specimen_001_I4_I04.fcs/mCherry	86.6	4559
Specimen_001_I5_I05.fcs		7614
Specimen_001_I5_I05.fcs/mCherry	49.3	3755
Specimen_001_I6_I06.fcs		5974
Specimen_001_I6_I06.fcs/mCherry	48.7	2910
Specimen_001_I7_I07.fcs		9353
Specimen_001_I7_I07.fcs/mCherry	45.6	4261
Specimen_001_I8_I08.fcs		5720
Specimen_001_I8_I08.fcs/mCherry	41.7	2387
Specimen_001_I9_I09.fcs		9118
Specimen_001_I9_I09.fcs/mCherry	57.6	5251
Specimen_001_I10_I10.fcs		5791
Specimen_001_I10_I10.fcs/mCherry	54.8	3172
Specimen_001_I11_I11.fcs		8084
Specimen_001_I11_I11.fcs/mCherry	72.3	5848
Specimen_001_I12_I12.fcs		6310
Specimen_001_I12_I12.fcs/mCherry	73.8	4656
Specimen_001_I13_I13.fcs		6064
Specimen_001_I13_I13.fcs/mCherry	75.2	4562
Specimen_001_I14_I14.fcs		4809
Specimen_001_I14_I14.fcs/mCherry	73.6	3540
Specimen_001_I15_I15.fcs		7754
Specimen_001_I15_I15.fcs/mCherry	58.3	4522
Specimen_001_I16_I16.fcs		5880
Specimen_001_I16_I16.fcs/mCherry	56.9	3344
Specimen_001_I17_I17.fcs		7048
Specimen_001_I17_I17.fcs/mCherry	47.6	3354
Specimen_001_I18_I18.fcs		6307
Specimen_001_I18_I18.fcs/mCherry	42.4	2674
Specimen_001_I19_I19.fcs		7426
Specimen_001_I19_I19.fcs/mCherry	55.4	4112
Specimen_001_I20_I20.fcs		6204
Specimen_001_I20_I20.fcs/mCherry	51.9	3220
Specimen_001_I21_I21.fcs		6258
Specimen_001_I21_I21.fcs/mCherry	86.6	5422
Specimen_001_I22_I22.fcs		5042
Specimen_001_I22_I22.fcs/mCherry	87.8	4429
Specimen_001_J3_J03.fcs		14241
Specimen_001_J3_J03.fcs/mCherry	85.8	12213
Specimen_001_J4_J04.fcs		16121
Specimen_001_J4_J04.fcs/mCherry	83.9	13522
Specimen_001_J5_J05.fcs		13536
Specimen_001_J5_J05.fcs/mCherry	58.5	7919
Specimen_001_J6_J06.fcs		15087
Specimen_001_J6_J06.fcs/mCherry	58.2	8783
Specimen_001_J7_J07.fcs		10857
Specimen_001_J7_J07.fcs/mCherry	56.8	6162
Specimen_001_J8_J08.fcs		13113
Specimen_001_J8_J08.fcs/mCherry	55.7	7307
Specimen_001_J9_J09.fcs		12831
Specimen_001_J9_J09.fcs/mCherry	64.9	8322
Specimen_001_J10_J10.fcs		14711
Specimen_001_J10_J10.fcs/mCherry	63.4	9323
Specimen_001_J11_J11.fcs		13207
Specimen_001_J11_J11.fcs/mCherry	64.8	8552
Specimen_001_J12_J12.fcs		12925
Specimen_001_J12_J12.fcs/mCherry	62.3	8054
Specimen_001_J13_J13.fcs		13160
Specimen_001_J13_J13.fcs/mCherry	65.3	8598
Specimen_001_J14_J14.fcs		15604
Specimen_001_J14_J14.fcs/mCherry	64.2	10016
Specimen_001_J15_J15.fcs		12925
Specimen_001_J15_J15.fcs/mCherry	66.3	8567
Specimen_001_J16_J16.fcs		15228
Specimen_001_J16_J16.fcs/mCherry	64.6	9837
Specimen_001_J17_J17.fcs		11985
Specimen_001_J17_J17.fcs/mCherry	60.6	7264
Specimen_001_J18_J18.fcs		13489
Specimen_001_J18_J18.fcs/mCherry	57.4	7747
Specimen_001_J19_J19.fcs		12878
Specimen_001_J19_J19.fcs/mCherry	62.9	8099
Specimen_001_J20_J20.fcs		15745
Specimen_001_J20_J20.fcs/mCherry	59.9	9424
Specimen_001_J21_J21.fcs		14946
Specimen_001_J21_J21.fcs/mCherry	87	13007
Specimen_001_J22_J22.fcs		16309
Specimen_001_J22_J22.fcs/mCherry	84.3	13742
Specimen_001_K3_K03.fcs		7455
Specimen_001_K3_K03.fcs/mCherry	78.8	5874
Specimen_001_K4_K04.fcs		4965
Specimen_001_K4_K04.fcs/mCherry	79.5	3949
Specimen_001_K5_K05.fcs		10058
Specimen_001_K5_K05.fcs/mCherry	44.6	4484
Specimen_001_K6_K06.fcs		8319
Specimen_001_K6_K06.fcs/mCherry	39.9	3317
Specimen_001_K7_K07.fcs		9541
Specimen_001_K7_K07.fcs/mCherry	50.5	4822
Specimen_001_K8_K08.fcs		6090
