clone_id,env,regime,anc,ref,kk_pop_id,fitness_gain_avg,fitness_gain_sd,env_group_mean,mc_gain,multi_count,single_count,tot_hits,pop_id
B04_A1.1_A02_2,SC30C,asexual,0,0,a1.1_A02,-0.0260002949535306,0.0056810826337175,-0.05714336091062842,0.03114306595709782,7,20,27,B04_A1.1_A02
B04_A1.1_A02_2,SC37C,asexual,0,0,a1.1_A02,-0.0841933043604733,0.0153677149110628,-0.06669518684995192,-0.017498117510521383,7,20,27,B04_A1.1_A02
B04_A1.1_A02_2,YPD,asexual,0,0,a1.1_A02,-0.007134128067243,0.0025089212651782,-0.007296789617243259,0.0001626615500002586,7,20,27,B04_A1.1_A02
B05_A1.1_G01_1,SC_0.2M_NaCl,asexual,0,0,a1.1_G01,-0.0967191184303534,0.0545853398166953,-0.021914136913430138,-0.07480498151692326,17,40,57,B05_A1.1_G01
B05_A1.1_G01_1,SC_pH7.3,asexual,0,0,a1.1_G01,-0.0905617723078981,0.0101375144715642,0.029968819668503028,-0.12053059197640112,17,40,57,B05_A1.1_G01
B05_A1.1_G01_1,SC30C,asexual,0,0,a1.1_G01,-0.10498560676461,0.0267366299616701,-0.05714336091062842,-0.04784224585398158,17,40,57,B05_A1.1_G01
B05_A1.1_G01_1,SC37C,asexual,0,0,a1.1_G01,-0.124867134930542,0.0218274623371265,-0.06669518684995192,-0.05817194808059008,17,40,57,B05_A1.1_G01
B05_A1.1_G01_1,YPD,asexual,0,0,a1.1_G01,-0.018603058490624,0.00090536163723,-0.007296789617243259,-0.01130626887338074,17,40,57,B05_A1.1_G01
B05_A1.1_G01_2,lowP,asexual,0,0,a1.1_G01,-0.0511979841702837,0.0207895779898829,-0.06593941004154427,0.014741425871260573,24,47,71,B05_A1.1_G01
B05_A1.1_G01_2,SC_0.2M_NaCl,asexual,0,0,a1.1_G01,-0.0050664926139754,0.0039438776054639,-0.021914136913430138,0.016847644299454737,24,47,71,B05_A1.1_G01
B05_A1.1_G01_2,SC_pH7.3,asexual,0,0,a1.1_G01,-0.0207581601993006,0.0090370989585736,0.029968819668503028,-0.050726979867803626,24,47,71,B05_A1.1_G01
B05_A1.1_G01_2,SC30C,asexual,0,0,a1.1_G01,-0.0523221906604263,0.0152420609754971,-0.05714336091062842,0.004821170250202116,24,47,71,B05_A1.1_G01
B05_A1.1_G01_2,SC37C,asexual,0,0,a1.1_G01,-0.0852857592453853,0.0060701377485019,-0.06669518684995192,-0.01859057239543338,24,47,71,B05_A1.1_G01
B05_A1.1_G01_2,YPD,asexual,0,0,a1.1_G01,-0.0135541846180205,0.0018328647071411,-0.007296789617243259,-0.006257395000777241,24,47,71,B05_A1.1_G01
C03_A3_H11_1,lowP,sexual,0,0,a3_H11,0.0075855879574351,0.0035367952487644,0.004241308982132484,0.0033442789753026165,11,8,19,C03_A3_H11
C03_A3_H11_1,SC_0.2M_NaCl,sexual,0,0,a3_H11,0.0259893787569582,0.0004193939366308,0.012973845153084822,0.01301553360387338,11,8,19,C03_A3_H11
C03_A3_H11_1,SC_pH7.3,sexual,0,0,a3_H11,0.093104818411876,0.0308941804513816,0.08577456353872868,0.007330254873147313,11,8,19,C03_A3_H11
C03_A3_H11_1,SC30C,sexual,0,0,a3_H11,-0.0027160483242644,0.0037809834578345,-0.016458419381894417,0.013742371057630017,11,8,19,C03_A3_H11
C03_A3_H11_1,SC37C,sexual,0,0,a3_H11,0.0619979136427009,0.0315158352798271,0.013476052238255685,0.04852186140444521,11,8,19,C03_A3_H11
C03_A3_H11_1,YPD,sexual,0,0,a3_H11,0.0165706790281779,0.0007766112681047,0.006513714805136206,0.010056964223041693,11,8,19,C03_A3_H11
C03_A3_H11_2,lowP,sexual,0,0,a3_H11,0.0044385233385298,0.0095024484656497,0.004241308982132484,0.00019721435639731642,11,5,16,C03_A3_H11
C03_A3_H11_2,SC_0.2M_NaCl,sexual,0,0,a3_H11,0.0196873119187524,0.0043949391238054,0.012973845153084822,0.0067134667656675775,11,5,16,C03_A3_H11
C03_A3_H11_2,SC_pH7.3,sexual,0,0,a3_H11,0.105640738795273,0.0279045555784336,0.08577456353872868,0.019866175256544313,11,5,16,C03_A3_H11
C03_A3_H11_2,SC30C,sexual,0,0,a3_H11,-0.009017993577481,0.0039235508902178,-0.016458419381894417,0.007440425804413417,11,5,16,C03_A3_H11
C03_A3_H11_2,SC37C,sexual,0,0,a3_H11,0.0265399073666895,0.0070549169011619,0.013476052238255685,0.013063855128433815,11,5,16,C03_A3_H11
C03_A3_H11_2,YPD,sexual,0,0,a3_H11,0.0147101222356621,0.0014422854180127,0.006513714805136206,0.008196407430525894,11,5,16,C03_A3_H11
C05_A1.1_A09_1,lowP,asexual,0,0,a1.1_A09,-0.0924070305429937,0.0106594678918441,-0.06593941004154427,-0.026467620501449435,20,32,52,C05_A1.1_A09
C05_A1.1_A09_1,SC_0.2M_NaCl,asexual,0,0,a1.1_A09,-0.0214828043681444,0.0199343427110608,-0.021914136913430138,0.00043133254528573625,20,32,52,C05_A1.1_A09
C05_A1.1_A09_1,SC_pH7.3,asexual,0,0,a1.1_A09,-0.0507397298940366,0.0017739198416319,0.029968819668503028,-0.08070854956253963,20,32,52,C05_A1.1_A09
C05_A1.1_A09_1,SC30C,asexual,0,0,a1.1_A09,-0.0633095207240048,0.0175955055264814,-0.05714336091062842,-0.006166159813376378,20,32,52,C05_A1.1_A09
C05_A1.1_A09_1,SC37C,asexual,0,0,a1.1_A09,-0.0637135919095073,0.0076190431774088,-0.06669518684995192,0.002981594940444615,20,32,52,C05_A1.1_A09
C05_A1.1_A09_1,YPD,asexual,0,0,a1.1_A09,-0.0022280190035264,0.0082480093126421,-0.007296789617243259,0.005068770613716859,20,32,52,C05_A1.1_A09
C05_A1.1_A09_2,lowP,asexual,0,0,a1.1_A09,-0.0876661068569052,0.0034306255767879,-0.06593941004154427,-0.02172669681536092,23,39,62,C05_A1.1_A09
C05_A1.1_A09_2,SC_0.2M_NaCl,asexual,0,0,a1.1_A09,-0.0316491456165524,0.0440464237161657,-0.021914136913430138,-0.009735008703122265,23,39,62,C05_A1.1_A09
C05_A1.1_A09_2,SC_pH7.3,asexual,0,0,a1.1_A09,-0.029856398714199,0.0232031749373258,0.029968819668503028,-0.05982521838270203,23,39,62,C05_A1.1_A09
C05_A1.1_A09_2,SC30C,asexual,0,0,a1.1_A09,-0.0433539564473319,0.0312169470117425,-0.05714336091062842,0.013789404463296517,23,39,62,C05_A1.1_A09
C05_A1.1_A09_2,SC37C,asexual,0,0,a1.1_A09,-0.0646597332770588,0.0069480104391351,-0.06669518684995192,0.0020354535728931145,23,39,62,C05_A1.1_A09
C05_A1.1_A09_2,YPD,asexual,0,0,a1.1_A09,0.0119170233053151,0.0111604395151661,-0.007296789617243259,0.01921381292255836,23,39,62,C05_A1.1_A09
C06_A1.1_A10_1,lowP,asexual,0,0,a1.1_A10,-0.11213238125474,0.0482120603767112,-0.06593941004154427,-0.046192971213195724,16,57,73,C06_A1.1_A10
C06_A1.1_A10_1,SC_0.2M_NaCl,asexual,0,0,a1.1_A10,-0.0751873929031959,0.0404415434177246,-0.021914136913430138,-0.05327325598976576,16,57,73,C06_A1.1_A10
C06_A1.1_A10_1,SC_pH7.3,asexual,0,0,a1.1_A10,0.0105989064441337,0.0056703110020136,0.029968819668503028,-0.019369913224369328,16,57,73,C06_A1.1_A10
C06_A1.1_A10_1,SC30C,asexual,0,0,a1.1_A10,-0.135391197708224,0.0168895037248641,-0.05714336091062842,-0.07824783679759559,16,57,73,C06_A1.1_A10
C06_A1.1_A10_1,SC37C,asexual,0,0,a1.1_A10,-0.0797685530118433,0.0305600638379866,-0.06669518684995192,-0.013073366161891378,16,57,73,C06_A1.1_A10
C06_A1.1_A10_1,YPD,asexual,0,0,a1.1_A10,-0.025164236837811,0.0067816082844246,-0.007296789617243259,-0.017867447220567743,16,57,73,C06_A1.1_A10
C06_A1.1_A10_2,lowP,asexual,0,0,a1.1_A10,-0.11381469170331,0.013239623825634,-0.06593941004154427,-0.04787528166176573,22,53,75,C06_A1.1_A10
C06_A1.1_A10_2,SC_0.2M_NaCl,asexual,0,0,a1.1_A10,-0.0226327996101714,0.0135579004007983,-0.021914136913430138,-0.0007186626967412638,22,53,75,C06_A1.1_A10
C06_A1.1_A10_2,SC_pH7.3,asexual,0,0,a1.1_A10,0.0184422913394408,0.0149183716880925,0.029968819668503028,-0.011526528329062227,22,53,75,C06_A1.1_A10
C06_A1.1_A10_2,SC30C,asexual,0,0,a1.1_A10,-0.10810837614158,0.0107318771507314,-0.05714336091062842,-0.05096501523095159,22,53,75,C06_A1.1_A10
C06_A1.1_A10_2,SC37C,asexual,0,0,a1.1_A10,-0.101214868568875,0.0293732397918804,-0.06669518684995192,-0.034519681718923084,22,53,75,C06_A1.1_A10
C06_A1.1_A10_2,YPD,asexual,0,0,a1.1_A10,-0.0265190059803345,0.0003350094099953,-0.007296789617243259,-0.01922221636309124,22,53,75,C06_A1.1_A10
D02_A1.1_A05_2,SC_0.2M_NaCl,asexual,0,0,a1.1_A05,-0.0060057090101944,0.010599445813925,-0.021914136913430138,0.01590842790323574,12,10,22,D02_A1.1_A05
D02_A1.1_A05_2,SC_pH7.3,asexual,0,0,a1.1_A05,0.0613086551278168,0.0090751437481924,0.029968819668503028,0.03133983545931378,12,10,22,D02_A1.1_A05
D02_A1.1_A05_2,SC30C,asexual,0,0,a1.1_A05,-0.0307100343324933,0.0189015669549464,-0.05714336091062842,0.026433326578135116,12,10,22,D02_A1.1_A05
D02_A1.1_A05_2,SC37C,asexual,0,0,a1.1_A05,-0.0836104061055368,0.0056626173264813,-0.06669518684995192,-0.016915219255584882,12,10,22,D02_A1.1_A05
D02_A1.1_A05_2,YPD,asexual,0,0,a1.1_A05,-0.0071734591028785,0.0020351413832422,-0.007296789617243259,0.00012333051436475874,12,10,22,D02_A1.1_A05
D03_A3_B12_1,lowP,sexual,0,0,a3_B12,0.0108639845370665,0.0033530332190607,0.004241308982132484,0.006622675554934017,9,7,16,D03_A3_B12
