"env","plate_block","X","well_id","well_id_96","well_id_96_no0","plate_id","F1_AP","F1_F1","F1_ID","F1","BLOCK_ID","PAR_ID","IS_ANC","kk_strain_id","regime","strain_id","parent","tot_1","ref_1","tot_2","ref_2","s_hat","plate_means","fitness_gain","unique_id","f1_unique_id","env_means","fitness_gain_adj"
"SC_0.2M_NaCl","4_4",1397,"B10","A05","A5","4","A08","C05","C04_C05",1,4,"",NA,"C04_a3_H02_1","sexual","C04_C05","C04",19839,12258,19662,16673,-0.123831809328715,NA,-0.123831809328715,"C04_a3_H02_1_A05","C04_a3_H02_1_A05",-0.115497523764393,-0.00833428556432168
"SC_0.2M_NaCl","4_4",1398,"B12","A06","A6","4","A08","C06","C04_C06",1,4,"",NA,"C04_a3_H02_1","sexual","C04_C06","C04",19830,9407,19570,13543,-0.0912181243939698,NA,-0.0912181243939698,"C04_a3_H02_1_A06","C04_a3_H02_1_A06",-0.115497523764393,0.0242793993704235
"SC_0.2M_NaCl","4_4",1399,"B14","A07","A7","4","A08","C07","C04_C07",1,4,"",NA,"C04_a3_H02_1","sexual","C04_C07","C04",19807,9868,19481,13209,-0.0751972345712378,NA,-0.0751972345712378,"C04_a3_H02_1_A07","C04_a3_H02_1_A07",-0.115497523764393,0.0403002891931555
"SC_0.2M_NaCl","4_4",1400,"B16","A08","A8","4","A08","C08","C04_C08",1,4,"",NA,"C04_a3_H02_1","sexual","C04_C08","C04",19849,13374,19654,18784,-0.234690359493301,NA,-0.234690359493301,"C04_a3_H02_1_A08","C04_a3_H02_1_A08",-0.115497523764393,-0.119192835728908
"SC_0.2M_NaCl","4_4",1405,"D02","B01","B1","4","E08","C01","D04_C01",1,4,"",NA,"D04_a1.1_H06_1","asexual","D04_C01","D04",19329,10499,5305,3110,-0.0175315679747073,NA,-0.0175315679747073,"D04_a1.1_H06_1_B01","D04_a1.1_H06_1_B01",-0.115497523764393,0.097965955789686
"SC_0.2M_NaCl","4_4",1406,"D04","B02","B2","4","E08","C02","D04_C02",1,4,"",NA,"D04_a1.1_H06_1","asexual","D04_C02","D04",19797,8687,19771,13402,-0.0989979426535506,NA,-0.0989979426535506,"D04_a1.1_H06_1_B02","D04_a1.1_H06_1_B02",-0.115497523764393,0.0164995811108427
"SC_0.2M_NaCl","4_4",1407,"D06","B03","B3","4","E08","C03","D04_C03",1,4,"",NA,"D04_a1.1_H06_1","asexual","D04_C03","D04",19694,10062,19910,14967,-0.106420027971953,NA,-0.106420027971953,"D04_a1.1_H06_1_B03","D04_a1.1_H06_1_B03",-0.115497523764393,0.00907749579244031
"SC_0.2M_NaCl","4_4",1408,"D08","B04","B4","4","E08","C04","D04_C04",1,4,"",NA,"D04_a1.1_H06_1","asexual","D04_C04","D04",19709,11940,19926,16962,-0.13146831885095,NA,-0.13146831885095,"D04_a1.1_H06_1_B04","D04_a1.1_H06_1_B04",-0.115497523764393,-0.0159707950865567
"SC_0.2M_NaCl","4_4",1409,"D10","B05","B5","4","E08","C05","D04_C05",1,4,"",NA,"D04_a1.1_H06_1","asexual","D04_C05","D04",19627,9596,19962,15095,-0.117621978523138,NA,-0.117621978523138,"D04_a1.1_H06_1_B05","D04_a1.1_H06_1_B05",-0.115497523764393,-0.00212445475874468
"SC_0.2M_NaCl","4_4",1410,"D12","B06","B6","4","E08","C06","D04_C06",1,4,"",NA,"D04_a1.1_H06_1","asexual","D04_C06","D04",19778,13089,19866,17762,-0.146191325228754,NA,-0.146191325228754,"D04_a1.1_H06_1_B06","D04_a1.1_H06_1_B06",-0.115497523764393,-0.0306938014643607
