"kk_pop_id","env","fitness_gain_mu_pop","fitness_gain_sd_pop"
"a3_A03","lowP",0.035518874050607,0.00570065978459453
"a3_A11","SC30C",0.0158332143544306,0.00944984982389194
"a3_A11","SC37C",0.0767638877008135,0.0153072927138198
"a3_A11","SC_0.2M_NaCl",0.00841147673380627,0.00369464367520184
"a3_A11","SC_pH7.3",0.113556078411613,0.0116979644169422
"a3_A11","YPD",0.0818157965244328,0.00153847913698936
"a3_A11","lowP",0.0348872204957278,0.0065488587360611
"a3_B01","SC30C",-0.00819088263235186,0.011125991875901
"a3_B01","SC37C",0.0549679509983181,0.0132424640261192
"a3_B01","SC_0.2M_NaCl",-0.0719610592579462,0.0176519935415119
"a3_B01","SC_pH7.3",0.0790484622460862,0.00551288467461291
"a3_B01","YPD",0.0673054527833359,0.0067637800799672
"a3_B01","lowP",-0.00515513172814126,0.0106937798482246
"a3_B12","SC30C",-0.00222314976834683,0.00636700341770844
"a3_B12","SC37C",0.0833638331740032,0.0100989671056741
"a3_B12","SC_0.2M_NaCl",-0.00264165829186473,0.00986247334753232
"a3_B12","SC_pH7.3",0.121063093104394,0.0162610737197295
"a3_B12","YPD",0.0721077874104267,0.0108047740323294
"a3_B12","lowP",0.0357985027274996,0.00719065256053942
"a3_E01","SC30C",0.01116974874255,0.00363216829153571
"a3_E01","SC37C",0.0662775692392746,0.00839722740986435
"a3_E01","SC_0.2M_NaCl",-0.00835914124185398,0.00634727972955125
"a3_E01","SC_pH7.3",0.109648773465787,0.00709499897527349
"a3_E01","YPD",0.0818261378945086,0.00384092988177543
"a3_E01","lowP",0.038910898450753,0.00271641115239438
"a3_G01","SC30C",0.00832423815000424,0.00417186238072644
"a3_G01","SC37C",0.0720294331216813,0.0104288601238822
"a3_G01","SC_0.2M_NaCl",0.00288189555677628,0.0056958379648191
"a3_G01","SC_pH7.3",0.116740817953782,0.0191035961536216
"a3_G01","YPD",0.0854684348582208,0.00304033226651719
"a3_G01","lowP",0.0473449247504831,0.0056791906567046
"a3_G12","SC30C",0.00397201916884669,0.00422211978041957
"a3_G12","SC37C",0.0582315839573574,0.00346880764422397
"a3_G12","SC_0.2M_NaCl",0.0169498060819257,0.00990127773571591
"a3_G12","SC_pH7.3",0.093075475042833,0.014253293196441
"a3_G12","YPD",0.0830609729552343,0.000960041919039968
"a3_G12","lowP",0.0427642054889989,0.00218453430841659
